scenario,output,t,endpoint,metric.values,metric.levels,metric.type,id
scn1,drug_c,0.0,drug_c_000,0.0;0.0;0.0,0.25;0.5;0.75,quantile,m001
scn1,drug_c,2.0,drug_c_002,0.0;0.0;0.0,0.25;0.5;0.75,quantile,m002
scn1,drug_c,4.0,drug_c_004,0.0;0.0;0.0,0.25;0.5;0.75,quantile,m003
scn1,drug_c,8.0,drug_c_008,0.0;0.0;0.0,0.25;0.5;0.75,quantile,m004
scn1,drug_c,12.0,drug_c_012,0.0;0.0;0.0,0.25;0.5;0.75,quantile,m005
scn1,drug_c,24.0,drug_c_024,0.0;0.0;0.0,0.25;0.5;0.75,quantile,m006
scn1,drug_c,48.0,drug_c_048,0.0;0.0;0.0,0.25;0.5;0.75,quantile,m007
scn1,drug_c,72.0,drug_c_072,0.0;0.0;0.0,0.25;0.5;0.75,quantile,m008
scn1,drug_c,120.0,drug_c_120,0.0;0.0;0.0,0.25;0.5;0.75,quantile,m009
scn2,drug_c,0.0,drug_c_000,0.0;0.0;0.0,0.25;0.5;0.75,quantile,m010
scn2,drug_c,2.0,drug_c_002,0.41234685005476357;0.4396928664731063;0.4701032351731268,0.25;0.5;0.75,quantile,m011
scn2,drug_c,4.0,drug_c_004,0.23970125901198652;0.2519080089423623;0.2647559961319569,0.25;0.5;0.75,quantile,m012
scn2,drug_c,8.0,drug_c_008,0.16976934654695944;0.18108163468860164;0.19348217626721415,0.25;0.5;0.75,quantile,m013
scn2,drug_c,12.0,drug_c_012,0.12766896102682004;0.1393485928137072;0.15115463984811967,0.25;0.5;0.75,quantile,m014
scn2,drug_c,24.0,drug_c_024,0.1828216310618575;0.20416611641183485;0.22474569692339996,0.25;0.5;0.75,quantile,m015
scn2,drug_c,48.0,drug_c_048,0.21857689508319583;0.24956726333904;0.2802649358060244,0.25;0.5;0.75,quantile,m016
scn2,drug_c,72.0,drug_c_072,0.2268010113502103;0.2616067230993988;0.29533092650164045,0.25;0.5;0.75,quantile,m017
scn2,drug_c,120.0,drug_c_120,0.23061084013350397;0.2673438975560922;0.3032367424377075,0.25;0.5;0.75,quantile,m018
scn3,drug_c,0.0,drug_c_000,0.0;0.0;0.0,0.25;0.5;0.75,quantile,m019
scn3,drug_c,2.0,drug_c_002,1.237040574189221;1.3190786242912806;1.4103097270576395,0.25;0.5;0.75,quantile,m020
scn3,drug_c,4.0,drug_c_004,0.7191067776547445;0.7557265422797155;0.7942701503513963,0.25;0.5;0.75,quantile,m021
scn3,drug_c,8.0,drug_c_008,0.509307985202236;0.5432447230389772;0.5804463046819647,0.25;0.5;0.75,quantile,m022
scn3,drug_c,12.0,drug_c_012,0.3830086682332187;0.4180472028081179;0.453465091788937,0.25;0.5;0.75,quantile,m023
scn3,drug_c,24.0,drug_c_024,0.5484665010047367;0.6125000824303876;0.6742384122852095,0.25;0.5;0.75,quantile,m024
scn3,drug_c,48.0,drug_c_048,0.6557322286106503;0.7487032741444022;0.8407960400266914,0.25;0.5;0.75,quantile,m025
scn3,drug_c,72.0,drug_c_072,0.6804046518073529;0.7848216044747327;0.8859940798127388,0.25;0.5;0.75,quantile,m026
scn3,drug_c,120.0,drug_c_120,0.6918339857350609;0.8020330715855859;0.9097114557907329,0.25;0.5;0.75,quantile,m027
scn4,drug_c,0.0,drug_c_000,0.0;0.0;0.0,0.25;0.5;0.75,quantile,m028
scn4,drug_c,2.0,drug_c_002,4.123468572216012;4.3969287392732905;4.701032414918405,0.25;0.5;0.75,quantile,m029
scn4,drug_c,4.0,drug_c_004,2.3970192109709476;2.51908541923345;2.6475644451828995,0.25;0.5;0.75,quantile,m030
scn4,drug_c,8.0,drug_c_008,1.6976934473257712;1.8108160526740038;1.934821346274914,0.25;0.5;0.75,quantile,m031
scn4,drug_c,12.0,drug_c_012,1.276696591384321;1.3934914654674888;1.5115509425692273,0.25;0.5;0.75,quantile,m032
scn4,drug_c,24.0,drug_c_024,1.8282424625632439;2.0416882913435557;2.2474776484378705,0.25;0.5;0.75,quantile,m033
scn4,drug_c,48.0,drug_c_048,2.1858009844812263;2.495703050653943;2.8026709201454203,0.25;0.5;0.75,quantile,m034
scn4,drug_c,72.0,drug_c_072,2.2680445876227564;2.616086483592394;2.953317785295601,0.25;0.5;0.75,quantile,m035
scn4,drug_c,120.0,drug_c_120,2.3061210174894042;2.67346796018402;3.0323719605270893,0.25;0.5;0.75,quantile,m036
scn1,pd_output_1,0.0,pd_output_1_000,4.666589141654609;4.995640359890285;5.30618884644748,0.25;0.5;0.75,quantile,m037
scn1,pd_output_1,2.0,pd_output_1_002,4.666589141654609;4.995640359890285;5.30618884644748,0.25;0.5;0.75,quantile,m038
scn1,pd_output_1,4.0,pd_output_1_004,4.666589141654609;4.995640359890285;5.30618884644748,0.25;0.5;0.75,quantile,m039
scn1,pd_output_1,8.0,pd_output_1_008,4.666589141654609;4.995640359890285;5.30618884644748,0.25;0.5;0.75,quantile,m040
scn1,pd_output_1,12.0,pd_output_1_012,4.666589141654609;4.995640359890285;5.30618884644748,0.25;0.5;0.75,quantile,m041
scn1,pd_output_1,24.0,pd_output_1_024,4.666589141654609;4.995640359890285;5.30618884644748,0.25;0.5;0.75,quantile,m042
scn1,pd_output_1,48.0,pd_output_1_048,4.666589141654609;4.995640359890285;5.30618884644748,0.25;0.5;0.75,quantile,m043
scn1,pd_output_1,72.0,pd_output_1_072,4.666589141654609;4.995640359890285;5.30618884644748,0.25;0.5;0.75,quantile,m044
scn1,pd_output_1,120.0,pd_output_1_120,4.666589141654609;4.995640359890285;5.30618884644748,0.25;0.5;0.75,quantile,m045
scn2,pd_output_1,0.0,pd_output_1_000,4.666589141654609;4.995640359890285;5.30618884644748,0.25;0.5;0.75,quantile,m046
scn2,pd_output_1,2.0,pd_output_1_002,5.328821195271715;5.648843311106583;5.993022732015107,0.25;0.5;0.75,quantile,m047
scn2,pd_output_1,4.0,pd_output_1_004,5.584612837011041;5.909658402163667;6.262015757954917,0.25;0.5;0.75,quantile,m048
scn2,pd_output_1,8.0,pd_output_1_008,5.873352627837215;6.220067228953685;6.5609510161863245,0.25;0.5;0.75,quantile,m049
scn2,pd_output_1,12.0,pd_output_1_012,6.039340254043752;6.3953555763971135;6.731977006523078,0.25;0.5;0.75,quantile,m050
scn2,pd_output_1,24.0,pd_output_1_024,7.384024263494322;7.816844146444689;8.211428262259496,0.25;0.5;0.75,quantile,m051
scn2,pd_output_1,48.0,pd_output_1_048,9.021085018032759;9.495782924451408;10.034352627997318,0.25;0.5;0.75,quantile,m052
scn2,pd_output_1,72.0,pd_output_1_072,9.774075607705555;10.302808772571149;10.90089770863238,0.25;0.5;0.75,quantile,m053
scn2,pd_output_1,120.0,pd_output_1_120,10.371616219576143;10.927136166812414;11.555318217377202,0.25;0.5;0.75,quantile,m054
scn3,pd_output_1,0.0,pd_output_1_000,4.666589141654609;4.995640359890285;5.30618884644748,0.25;0.5;0.75,quantile,m055
scn3,pd_output_1,2.0,pd_output_1_002,6.738657095815205;7.117091718047977;7.512691360036323,0.25;0.5;0.75,quantile,m056
scn3,pd_output_1,4.0,pd_output_1_004,7.345456899520227;7.764518420607841;8.191323903855853,0.25;0.5;0.75,quantile,m057
scn3,pd_output_1,8.0,pd_output_1_008,7.951651522845848;8.411888181807159;8.877780183648069,0.25;0.5;0.75,quantile,m058
scn3,pd_output_1,12.0,pd_output_1_012,8.26894896833334;8.756161797083571;9.240665138799269,0.25;0.5;0.75,quantile,m059
scn3,pd_output_1,24.0,pd_output_1_024,10.377644395612862;10.934213096977224;11.498621099239951,0.25;0.5;0.75,quantile,m060
scn3,pd_output_1,48.0,pd_output_1_048,11.936617515062572;12.554302867413403;13.203134980953578,0.25;0.5;0.75,quantile,m061
scn3,pd_output_1,72.0,pd_output_1_072,12.47412397379864;13.113967505272896;13.796636121671044,0.25;0.5;0.75,quantile,m062
scn3,pd_output_1,120.0,pd_output_1_120,12.82630638054329;13.473089550452759;14.15491659374594,0.25;0.5;0.75,quantile,m063
scn4,pd_output_1,0.0,pd_output_1_000,4.666589141654609;4.995640359890285;5.30618884644748,0.25;0.5;0.75,quantile,m064
scn4,pd_output_1,2.0,pd_output_1_002,9.772634416252817;10.323127759828118;10.869206205493201,0.25;0.5;0.75,quantile,m065
scn4,pd_output_1,4.0,pd_output_1_004,10.605109020196025;11.17969858942122;11.765479839513723,0.25;0.5;0.75,quantile,m066
scn4,pd_output_1,8.0,pd_output_1_008,11.278581762455625;11.884550289822453;12.478806220236216,0.25;0.5;0.75,quantile,m067
scn4,pd_output_1,12.0,pd_output_1_012,11.571503214382428;12.200658493707962;12.807170163508623,0.25;0.5;0.75,quantile,m068
scn4,pd_output_1,24.0,pd_output_1_024,12.984188974518073;13.616083123159491;14.327705382826508,0.25;0.5;0.75,quantile,m069
scn4,pd_output_1,48.0,pd_output_1_048,13.649758089227802;14.291542898068503;15.068030219576631,0.25;0.5;0.75,quantile,m070
scn4,pd_output_1,72.0,pd_output_1_072,13.827938796454479;14.486235665962784;15.281556653790258,0.25;0.5;0.75,quantile,m071
scn4,pd_output_1,120.0,pd_output_1_120,13.94202402017617;14.605105743447517;15.389250454709448,0.25;0.5;0.75,quantile,m072
